video_id,title,channel_name,published_at,duration,view_count,like_count,comment_count,total_words,sensitive_count,sensitive_ratio,classification,found_terms,ad_status,violence_death_count,sexual_content_count,profanity_count,drugs_substances_count,hate_speech_slurs_count,mental_health_count,political_controversial_count,weapons_military_count,coded_numbers_count
2r-TOm5A2oc,"Carlos Garrido on Infrared - Marxism, Philosophy, and More",midwesternmarx,2024-04-05,PT2H58M44S,14436,844,365,28273,126,0.4457,Likely Monetised,"bail, hate, bastard, nazi, dead, white, false, evil, orgy, wrong",No,21,2,24,0,33,1,43,2,0
2r1EwB-XYyc,Responding to Vice: Do the Capitol Riots signal The United States is crumbling like Rome?,midwesternmarx,2021-06-03,PT29M49S,1606,220,19,5572,65,1.1665,Likely Monetised,"hate, suppress, white, evil, dictator, kill, attack, transition, majority, slavery",No,11,1,3,0,7,0,43,0,0
2tlOYNOw68Y,WOKE WOMAN BRUTALLY FINDS OUT,TheQuartering,2026-02-21,PT13M41S,188030,13465,2557,2205,36,1.6327,Likely Monetised,"nazi, dead, white, assault, wrong, kill, attack, burn, death, die",Yes,14,0,4,0,5,1,7,5,0
35UKNNokTlQ,,,,,0,0,0,8015,118,1.4722,Likely Monetised,"hate, dead, white, dumbass, penis, evil, assault, god, wrong, kill",Yes,38,5,21,0,20,0,13,21,0
3G7h9LSoweo,John Campea Blames FANS For Star Wars Failure,Geeks + Gamers,2025-04-19,PT14M4S,70497,5179,1474,2529,48,1.898,Likely Monetised,"racist, hate, suicide, disaster, sexist, harass, war, wrong, kill, attack",Yes,6,0,3,0,4,1,34,0,0
3L1ZsbANYfU,What Did Enoch Powell Actually Say?,The Podcast of the Lotus Eaters,2025-05-17,PT35M10S,386437,11626,2426,6970,73,1.0473,Likely Monetised,"hate, white, evil, wrong, god, crime, burn, minority, majority, nonsense",Yes,9,0,6,0,51,0,7,0,0
3LgZfdzT7ck,The Life & Legacy of Che Guevara,midwesternmarx,2024-10-09,PT13M1S,1153,128,9,2200,15,0.6818,Likely Monetised,"jail, weed, murder, die, suppress, loser, war, god, attack, stupid",Yes,6,0,3,1,0,0,5,0,0
3R9n9gg9qF0,,,,,0,0,0,5494,58,1.0557,Likely Monetised,"hang, hate, die, hell, white, fight, bitch, war, wrong, god",Yes,3,0,22,0,2,0,28,3,0
3TPWf8zasrA,,,,,0,0,0,3807,33,0.8668,Likely Monetised,"threat, harassment, controversy, harass, false, violence, majority, attack, wrong, kill",Yes,11,0,8,0,1,0,12,1,0
3YelCxIWxtw,Crash And Burn - The Steven Seagal Story,The Critical Drinker,2026-01-12,PT14M14S,1421458,77107,8593,2771,55,1.9848,Likely Monetised,"felony, evil, injury, wrong, burn, kill, crime, death, die, nonsense",Yes,13,1,8,1,3,0,24,5,0
3fviMJs8kS8,2026 Movies Are CRAZY ,Geeks + Gamers,2026-01-06,PT13M9S,5647,566,83,2430,10,0.4115,Likely Monetised,"hate, hell, nonsense, war, black, insane",Yes,0,0,4,0,2,0,4,0,0
3mHWNvvApRg,Eddie Liger Livestream 5/30,midwesternmarx,2021-05-31,PT44M48S,454,49,10,8162,56,0.6861,Likely Monetised,"racism, hate, white, dictator, kill, wrong, god, propaganda, anti-semitic, die",No,14,3,6,0,16,0,17,0,0
3vUjNTuoaLM,FULL Woke Girl Boss - Toy Story 5 Might Be in Trouble,Geeks + Gamers,2025-04-18,PT5M25S,23206,1720,759,1039,6,0.5775,Likely Monetised,"irrelevant, hate, majority, wrong, flag",Yes,0,0,2,0,2,0,2,0,0
3vuvF63OFjQ,Black People Have to Decide How We Feel About Police | OLAY & FRIENDS,olurinatti,2024-04-21,PT1H42M54S,36329,2272,152,22618,333,1.4723,Likely Monetised,"racism, bail, hate, weed, dead, felony, white, rape, evil, assault",,56,4,15,2,213,0,39,1,3
3ys0d7N5Ykc,A Marxist’s opinion on President Biden thus far.,midwesternmarx,2021-02-23,PT11M20S,4300,632,77,2268,25,1.1023,Likely Monetised,"worst, threat, jail, die, terrorist, pandemic, prison, white, judge, evil",Yes,4,0,1,0,2,0,18,0,0
4-vxJtTUz5o,,,,,0,0,0,1694,15,0.8855,Likely Monetised,"hate, die, dead, damage, kill, god, attack, death, gun, destroy",Yes,11,0,1,0,1,0,1,1,0
4DxxFCai5p0,Imperialism the Highest Stage of Capitalism: Reading Guide- Ch4 Export Capital,midwesternmarx,2020-12-01,PT12M40S,3310,279,18,2386,7,0.2934,Likely Monetised,"war, disaster, dictator, weapon",Yes,1,0,0,0,0,0,2,4,0
4Ft9zdso6ZE,,,,,0,0,0,1529,9,0.5886,Likely Monetised,"disaster, war, wrong, black, attack, damn, fight",Yes,2,0,2,0,1,0,4,0,0
4Mi9GJTogHw,,,,,0,0,0,1530,26,1.6993,Likely Monetised,"assassinate, propaganda, murder, die, dead, strike, villain, evil, war, kill",Yes,14,0,3,0,0,0,9,0,0
4O2wWbaFhCI,House of the Dragon is the Medieval Jerry Springer,olurinatti,2024-06-15,PT1H26M56S,83046,5636,797,17779,210,1.1812,Likely Monetised,"bail, hate, bastard, dead, white, loser, evil, god, burn, wrong",,84,9,38,1,33,0,40,5,0
4fGJ6YOumzQ,,,,,0,0,0,404,0,0.0,Likely Monetised,,Yes,0,0,0,0,0,0,0,0,0
4nM6umgj0JY,Why Black Male Voters are FED UP | OLAY & FRIENDS,olurinatti,2024-10-27,PT1H37M27S,47528,2792,389,20857,338,1.6206,Likely Monetised,"racism, hate, weed, suppress, white, loser, regressive, assault, god, wrong",,18,1,15,2,266,0,35,1,0
4nXJ0h3iU-M,,,,,0,0,0,1733,17,0.981,Likely Monetised,"injury, war, majority, mug, wrong, insane",Yes,1,0,3,0,1,0,12,0,0
4usmeP0kw-k,Production Hell - Cats,The Critical Drinker,2025-12-04,PT11M8S,915853,46561,4135,2119,21,0.991,Likely Monetised,"jail, worst, hang, dead, white, disaster, controversy, lawsuit, assault, nonsense",Yes,7,0,6,0,2,0,4,2,0
4xUxjWxiOFA,"PODCAST #3: IRAN, HEGEL, AND IDEALISM IN WESTERN SOCIALISTS",midwesternmarx,2021-01-16,PT39M8S,3180,204,29,7236,66,0.9121,Likely Monetised,"hate, dead, kill, transition, stupid, propaganda, die, nonsense, majority, shoot",Yes,13,0,2,0,7,1,38,5,0
5FkHVkwdDVE,"Wicked For Good - Is It Actually Good, Though?",The Critical Drinker,2025-11-24,PT7M22S,702376,38894,3866,1550,10,0.6452,Likely Monetised,"propaganda, hate, murder, hell, villain, evil, war, god, criminal",Yes,2,0,4,0,1,0,3,0,0
5NvCUtBkaVY,,,,,0,0,0,3712,18,0.4849,Likely Monetised,"worst, hang, bastard, damage, strike, dead, pummel, nonsense, recovery, attack",Yes,5,0,4,0,0,2,6,1,0
5OcZwXY69ww,,,,,0,0,0,2940,29,0.9864,Likely Monetised,"hang, dead, weapon, kill, attack, insane, fight, shoot, destroy, damage",Yes,5,0,1,0,0,0,5,18,0
5sjSC3-1izQ,Pokimane and QT's Worst Nightmare just Came True,Hero Hei,2026-03-10,PT2M59S,82198,3839,436,673,1,0.1486,Likely Monetised,hate,Yes,0,0,0,0,1,0,0,0,0
5x8anGV6yu4,,,,,0,0,0,2384,27,1.1326,Likely Monetised,"dead, suicide, hell, judge, god, burn, wrong, kill, weapon, shoot",Yes,9,0,8,0,0,1,1,8,0
5znurzDDc-k,,,,,0,0,0,504,4,0.7937,Likely Monetised,"propaganda, controversy, black",Yes,0,0,0,0,2,0,2,0,0
6979XXJRlOo,Telesur Interviews Carlos on the Venezuelan Elections,midwesternmarx,2024-07-29,PT28M3S,2469,235,33,4349,48,1.1037,Likely Monetised,"propaganda, genocide, tax, opposition, terror, violence, war, dictator, blood, majority",Yes,12,0,1,0,4,0,31,0,0
69obN625Fjs,How to Fall Down the Anti-SJW Rabbit Hole,Three Arrows,2018-11-02,PT21M47S,1556555,68522,19570,4378,39,0.8908,Likely Monetised,"hate, loser, white, regressive, regret, wrong, oppressor, attack, stupid, minority",Yes,6,0,9,0,14,0,9,1,0
6C-i5fX-7Fc,Slaying Sacred Cows,The Podcast of the Lotus Eaters,2025-01-30,PT24M44S,366361,18493,5303,4839,69,1.4259,Likely Monetised,"racism, holocaust, hate, bastard, nazi, dead, white, rape, kill, wrong",Yes,29,2,11,0,16,0,10,1,0
6DIkW9YoR3Y,Donald Trump Won & America Will Regret It,olurinatti,2024-11-06,PT13M53S,756687,76629,0,2725,63,2.3119,Uncertain,"racism, suppress, white, wrong, attack, stupid, majority, shoot, racist, dumber",,5,0,4,0,39,1,12,2,0
6DQqMQ2KYYk,,,,,0,0,0,566,1,0.1767,Likely Monetised,stupid,Yes,0,0,1,0,0,0,0,0,0
6T5zbw73n2g,Weapons - A Superb Horror Mystery,The Critical Drinker,2025-08-11,PT5M29S,671012,42809,3634,1152,18,1.5625,Likely Monetised,"threat, hell, alcoholic, shoot, violence, burn, shit, weapon, gun",Yes,2,0,2,1,0,0,1,12,0
6Y1Wgv-DfvA,,,,,0,0,0,4475,10,0.2235,Likely Monetised,"worst, hell, majority, damn, stupid, shoot, destroy, damage",Yes,1,0,4,0,3,0,1,1,0
6b6N-hgb9-s,,,,,0,0,0,3807,15,0.394,Likely Monetised,"worst, damage, hell, false, war, black, destroy",Yes,2,0,4,0,6,0,3,0,0
6e9AzdNUoLY,Are Men Using Babies to Trap Women? | OLAY & FRIENDS,olurinatti,2024-09-29,PT55M4S,53752,2938,248,12061,72,0.597,Likely Monetised,"hate, dead, white, god, wrong, attack, pregnant, sex, hang, sexual",,4,26,19,0,14,0,9,0,0
6gkEf3wsLnA,He CAN'T STOP LYING,Actual Justice Warrior,2025-11-09,PT21M38S,92494,5091,1410,4217,32,0.7588,Likely Monetised,"dead, loser, dumbass, false, wrong, attack, scumbag, stupid, shit, pregnant",Yes,7,1,20,0,2,0,2,0,0
6lIi1_VY1VY,Debate: Communists vs Ukrainian Anti-Communist,midwesternmarx,2024-12-31,PT26M16S,5044,306,198,4360,39,0.8945,Likely Monetised,"hate, nazi, evil, wrong, kill, god, death, die, majority, sex",Yes,7,1,7,1,7,1,13,2,0
6skuCiLCjRA,How To Dismantle a Democracy,Three Arrows,2025-05-10,PT41M9S,649321,40245,5644,5988,74,1.2358,Likely Monetised,"holocaust, dead, torture, white, chemical, assault, kill, burn, attack, crime",Yes,33,0,1,1,5,0,34,0,0
6vK1LY1KC_w,Why Modern Movies Suck - They're Completely Forgettable,The Critical Drinker,2025-07-21,PT8M,1126002,75354,14073,1592,6,0.3769,Likely Monetised,"attack, war, gun, wrong",Yes,1,0,2,0,0,0,1,2,0
6yVXtiqHBw0,AMERICAN JOURNALIST EXPOSES THE TRUTH ABOUT CHINA | JASON SMITH,midwesternmarx,2026-01-24,PT57M43S,2744,229,44,10759,45,0.4183,Likely Monetised,"white, false, evil, wrong, god, crime, minority, die, majority, slavery",Yes,10,0,9,0,17,0,9,0,0
79DZrp-cIKw,,,,,0,0,0,3216,29,0.9017,Likely Monetised,"threat, die, dead, punishment, disaster, sexual, kill, fight, alter, stupid",Yes,18,1,4,0,0,0,6,0,0
7Bd_H8Cyago,The Easy Answers of YouTube Conservatism,Three Arrows,2020-05-22,PT1H7M50S,599065,25633,2918,13020,466,3.5791,Likely Demonetised,"racism, bail, hate, dead, suppress, white, rape, evil, assault, wrong",No,120,2,10,33,200,1,81,19,0
7FWWF2nQf6o,The International - American country/folk version,midwesternmarx,2024-07-01,PT3M22S,6215,295,46,273,3,1.0989,Likely Monetised,"racist, fight, die",Yes,1,0,0,0,1,0,1,0,0
7US7_rtOkJY,,,,,0,0,0,1577,18,1.1414,Likely Monetised,"worst, threat, murder, death, kill, attack, insane, bigot, fight",Yes,11,0,3,0,1,0,3,0,0
7fDiL_RFGTA,The Real Says Jussie Smollett Hoax Was Noble,Actual Justice Warrior,2022-05-31,PT22M25S,51503,3496,513,4888,132,2.7005,Uncertain,"racism, hate, felony, dead, white, ira, regressive, false, evil, wrong",Yes,24,0,25,0,58,0,23,2,0
7oP8ADjpJQk,The Decline and Fall of Woke Hollywood,Nerdrotic,2025-09-15,PT3H3M59S,497116,23878,2856,32987,464,1.4066,Likely Monetised,"bail, hate, bastard, nazi, dead, inflation, suppress, white, loser, metoo",Yes,72,9,81,1,99,9,181,12,0
7t8dBzR3PWo,,,,,0,0,0,2588,25,0.966,Likely Monetised,"racist, nazi, retard, white, sex, god, black, wrong, insane, stupid",Yes,0,1,8,0,16,0,0,0,0
7u1_GrRJ6qo,Last of Us Season 2 Facing MASSIVE Backlash,Geeks + Gamers,2025-05-08,PT7M28S,103053,5200,1440,1299,19,1.4627,Likely Monetised,"racist, propaganda, strike, sexist, terror, kill, death",Yes,11,0,0,0,4,0,4,0,0
7x8SS8vrSQU,The REAL Superman Trailer - James Gunn's Ego RUINED The Marketing,Geeks + Gamers,2025-05-19,PT6M5S,18175,1621,551,909,13,1.4301,Likely Monetised,"damn, hate, gun",Yes,0,0,2,0,1,0,0,10,0
8-N6yIfGuUM,"Crash And Burn - Dwayne ""The Rock"" Johnson",The Critical Drinker,2025-08-25,PT12M9S,2299751,107125,10536,2433,13,0.5343,Likely Monetised,"worst, meltdown, disaster, villain, injury, black, kill, burn, fight",Yes,7,0,3,0,2,0,1,0,0
82uw8W_IQMo,Supergirl - More Superhero Slop?,The Critical Drinker,2025-12-12,PT7M21S,1076740,64153,11575,1426,21,1.4727,Likely Monetised,"hate, torture, prostitute, cringe, obnoxious, god, fight, pain, gun",Yes,1,1,4,0,1,1,1,12,0
86FyYciEHvg,"Snow White is a Historic FLOP, and That's a Good Thing",Nerdrotic,2025-03-31,PT10M39S,892935,52240,4298,2096,55,2.624,Uncertain,"worst, propaganda, hate, weed, tax, hell, white, disaster, shoot, regret",Yes,2,0,6,1,35,1,8,2,0
8BhHAdgFgC0,,,,,0,0,0,1003,4,0.3988,Likely Monetised,"wrong, bounty, die, dead",Yes,3,0,1,0,0,0,0,0,0
8EPHk_myA8M,,,,,0,0,0,2010,20,0.995,Likely Monetised,"worst, tax, hell, god, black, gun",Yes,0,0,6,0,2,0,2,10,0
8K-hYtKTGN0,,,,,0,0,0,1989,21,1.0558,Likely Monetised,"threat, hate, murder, death, torture, war, dictator, kill, damn, fight",Yes,9,0,1,0,1,0,10,0,0
8PWahrIjYD8,Oh My God..,TheQuartering,2026-03-12,PT11M3S,94176,8212,2041,1799,11,0.6115,Likely Monetised,"threat, injury, god, black, attack, death, shoot, damage",Yes,3,0,1,0,2,0,3,2,0
8S7-AqFAHck,Cornel West is Running for President… | OLAY & FRIENDS,olurinatti,2023-06-11,PT1H9M26S,92107,6330,701,12841,184,1.4329,Likely Monetised,"racism, hate, white, evil, assault, wrong, god, attack, crime, stupid",,9,6,28,0,124,0,15,2,0
8UBwCJvhaGE,Where Marx Was Wrong but Lenin Right,midwesternmarx,2023-12-19,PT5M39S,3862,261,60,712,2,0.2809,Likely Monetised,wrong,Yes,0,0,2,0,0,0,0,0,0
8UoQXinZ7yU,,,,,0,0,0,2607,13,0.4987,Likely Monetised,"worst, die, strike, hell, cringe, god, black, damn, espionage",Yes,2,0,8,0,1,0,2,0,0
8a61ryxM-yQ,Disney Files Cease and Desist - Please Watch the Whole Video,Star Wars Theory,2025-12-16,PT15M46S,226722,18115,3362,3175,36,1.1339,Likely Monetised,"threat, suppress, hell, violence, war, majority, wrong, death, flag, destroy",Yes,4,0,2,0,1,0,29,0,0
8av1PngPPQc,Eddie Liger Plays Marxist Trivia,midwesternmarx,2024-08-14,PT2M36S,1520,108,17,431,1,0.232,Likely Monetised,damn,Yes,0,0,1,0,0,0,0,0,0
8dtgH9Y4c78,Superman - A Beautiful James Gunn Mess,The Critical Drinker,2025-07-12,PT10M35S,2098862,90866,20420,2128,29,1.3628,Likely Monetised,"threat, hate, retard, controversy, war, defeat, wrong, damn, fight, gun",Yes,0,0,2,0,2,0,7,18,0
8ez7u2StoWI,WOKE BOY SCOUTS CAVE & DROP DEI AFTER LOSING 90% OF MEMBERS!,TheQuartering,2026-02-28,PT12M,77820,6271,1540,1843,10,0.5426,Likely Monetised,"indoctrination, discrimination, transgenderism, war, sex, god, destroy",Yes,1,2,2,0,1,0,4,0,0
8hyX3d9z7vs,Animal Farm - This Was Probably A Bad Idea,The Critical Drinker,2025-12-16,PT6M53S,1163772,69335,9412,1251,14,1.1191,Likely Monetised,"worst, dumber, die, villain, corruption, dictator, wrong, fight, death",Yes,3,0,7,0,0,0,4,0,0
8tTKVAsN7rw,Probably Cancelled | Championing the working class: Dr. Shiva's campaign to reclaim America,midwesternmarx,2024-10-28,PT1H17M33S,1262,89,62,14498,144,0.9932,Likely Monetised,"racism, hate, white, false, evil, god, oppressor, kill, scumbag, attack",No,19,0,28,0,42,0,52,1,2
8vR9lLCYHtg,Fact Checking My Breakfast Club Interview with Eric Adams,olurinatti,2024-03-31,PT22M14S,132447,13129,1458,4598,96,2.0879,Uncertain,"injury, kill, wrong, crime, death, die, sex, 911, shoot, harass",,51,1,2,0,13,0,22,6,1
90a69Uln0Go,TikTok Gen Z Leftists Explain Everything,The Podcast of the Lotus Eaters,2021-07-29,PT22M25S,650821,32016,11182,4612,92,1.9948,Likely Monetised,"racism, hate, nazi, white, evil, wrong, kill, attack, crime, god",Yes,29,11,10,0,33,0,9,0,0
91aZHkxwUOQ,The Rise of BBLs & Body Modifications | OLAY & FRIENDS,olurinatti,2024-08-04,PT1H21M44S,57325,3051,232,17382,169,0.9723,Likely Monetised,"hate, white, breast, wrong, god, attack, crime, stupid, surgery, minority",,6,13,31,1,77,2,35,4,0
94PKCAshRrY,Rian Johnson SLAMS Kathleen Kennedy!,Geeks + Gamers,2026-01-17,PT5M40S,56118,3625,595,987,9,0.9119,Likely Monetised,"disaster, war, wrong, attack, minority",Yes,3,0,1,0,1,0,4,0,0
995ljGVQuCY,BBC checks YouTubers “Thinking”,The Podcast of the Lotus Eaters,2021-02-19,PT21M44S,28942,2480,387,4701,73,1.5529,Likely Monetised,"racism, hate, nazi, neo-nazi, false, regret, wrong, god, crime, attack",No,25,1,8,0,29,0,10,0,0
9AMAr4HRmA0,Analyzing What Kamala’s Up Against | OLAY & FRIENDS,olurinatti,2024-07-28,PT1H10M5S,41918,2476,297,15221,246,1.6162,Likely Monetised,"racism, hate, white, dictator, wrong, god, attack, crime, transition, stupid",,14,1,15,0,182,1,31,2,0
