video_id,title,channel_name,total_comments,creator_comments,perception_comments,creator_perception,viewer_perception,perception_ratio,monetization_pressure_mentions,censorship_behavior_mentions,off_platform_diversion_mentions,suppression_mechanisms_mentions
2ZoM5cMXzcc,THEY FINALLY RELEASED IT,TheQuartering,568,0,2,0,2,0.35,0,2,0,0
2bcKKs6vpGU,PAWN STARS MASSIVE SCAM,TheQuartering,639,0,2,0,2,0.31,0,0,2,0
2o3pkoZyYRA,Germany's Demographic Demise?,Three Arrows,1525,1,2,0,2,0.13,0,2,0,0
2r-TOm5A2oc,"Carlos Garrido on Infrared - Marxism, Philosophy, and More",midwesternmarx,321,0,1,0,1,0.31,1,0,0,0
2r1EwB-XYyc,Responding to Vice: Do the Capitol Riots signal The United States is crumbling like Rome?,midwesternmarx,12,0,0,0,0,0.0,0,0,0,0
2tlOYNOw68Y,WOKE WOMAN BRUTALLY FINDS OUT,TheQuartering,651,0,0,0,0,0.0,0,0,0,0
2uFSc68yUFY,NFL Terrified of Ratings COLLAPSE for the Game and Halftime Show,Culture Casino,376,0,1,0,1,0.27,0,0,0,1
34mSBDoWxKc,WOKE KAREN TRIES TO BLOW UP ICE FACILITY & IS FACING 20 YEARS IN PRISON!,TheQuartering,381,0,0,0,0,0.0,0,0,0,0
3G7h9LSoweo,John Campea Blames FANS For Star Wars Failure,Geeks + Gamers,432,0,0,0,0,0.0,0,0,0,0
3L1ZsbANYfU,What Did Enoch Powell Actually Say?,The Podcast of the Lotus Eaters,748,0,1,0,1,0.13,0,1,0,0
3LgZfdzT7ck,The Life & Legacy of Che Guevara,midwesternmarx,7,0,0,0,0,0.0,0,0,0,0
3R9n9gg9qF0,,,126,26,1,0,1,0.79,0,0,1,0
3YelCxIWxtw,Crash And Burn - The Steven Seagal Story,The Critical Drinker,1515,0,2,0,2,0.13,0,1,1,0
3fviMJs8kS8,2026 Movies Are CRAZY ,Geeks + Gamers,78,0,0,0,0,0.0,0,0,0,0
3mHWNvvApRg,Eddie Liger Livestream 5/30,midwesternmarx,7,1,0,0,0,0.0,0,0,0,0
3vL0bO9n9Q0,Captain America 4 is a DISASTER - A Brave New Low,Nerdrotic,1730,0,5,0,5,0.29,0,3,1,1
3vUjNTuoaLM,FULL Woke Girl Boss - Toy Story 5 Might Be in Trouble,Geeks + Gamers,423,0,0,0,0,0.0,0,0,0,0
3vuvF63OFjQ,Black People Have to Decide How We Feel About Police | OLAY & FRIENDS,olurinatti,130,0,0,0,0,0.0,0,0,0,0
3ys0d7N5Ykc,A Marxist’s opinion on President Biden thus far.,midwesternmarx,60,0,0,0,0,0.0,0,0,0,0
4DxxFCai5p0,Imperialism the Highest Stage of Capitalism: Reading Guide- Ch4 Export Capital,midwesternmarx,18,0,0,0,0,0.0,0,0,0,0
4O2wWbaFhCI,House of the Dragon is the Medieval Jerry Springer,olurinatti,281,1,0,0,0,0.0,0,0,0,0
4nM6umgj0JY,Why Black Male Voters are FED UP | OLAY & FRIENDS,olurinatti,319,0,0,0,0,0.0,0,0,0,0
4qrzwJ6ZhLw,Twitch's Women's Day Event has been a Disaster,Hero Hei,533,0,0,0,0,0.0,0,0,0,0
4usmeP0kw-k,Production Hell - Cats,The Critical Drinker,1024,0,1,0,1,0.1,0,0,0,1
4xUxjWxiOFA,"PODCAST #3: IRAN, HEGEL, AND IDEALISM IN WESTERN SOCIALISTS",midwesternmarx,26,0,0,0,0,0.0,0,0,0,0
4zZHvMsRRrw,,,146,46,2,0,2,1.37,0,2,0,0
5CqXfvf-Awc,WOKE RICH KIDS ARE FINDING OUT!,TheQuartering,796,0,1,0,1,0.13,0,1,0,0
5FkHVkwdDVE,"Wicked For Good - Is It Actually Good, Though?",The Critical Drinker,1119,0,1,0,1,0.09,0,1,0,0
5LpbAvSH4ow,Disney Finally Admits The Truth,Geeks + Gamers,289,0,1,0,1,0.35,0,0,1,0
5sjSC3-1izQ,Pokimane and QT's Worst Nightmare just Came True,Hero Hei,338,0,1,0,1,0.3,0,1,0,0
6-MQP5GEoFY,They Did It Again...,TheQuartering,559,0,3,0,3,0.54,0,2,1,0
67Qd5J47Y84,SOMALI SCAMMER FINDS OUT! SWEET JUSTICE! CAUGHT FLEEING COUNTRY!,TheQuartering,395,0,0,0,0,0.0,0,0,0,0
6979XXJRlOo,Telesur Interviews Carlos on the Venezuelan Elections,midwesternmarx,24,0,0,0,0,0.0,0,0,0,0
69obN625Fjs,How to Fall Down the Anti-SJW Rabbit Hole,Three Arrows,3574,0,23,0,23,0.64,4,10,7,4
6C-i5fX-7Fc,Slaying Sacred Cows,The Podcast of the Lotus Eaters,1820,0,5,0,5,0.27,0,1,4,0
6T5zbw73n2g,Weapons - A Superb Horror Mystery,The Critical Drinker,1045,0,0,0,0,0.0,0,0,0,0
6e9AzdNUoLY,Are Men Using Babies to Trap Women? | OLAY & FRIENDS,olurinatti,223,0,0,0,0,0.0,0,0,0,0
6gkEf3wsLnA,He CAN'T STOP LYING,Actual Justice Warrior,500,0,0,0,0,0.0,0,0,0,0
6lIi1_VY1VY,Debate: Communists vs Ukrainian Anti-Communist,midwesternmarx,181,0,1,0,1,0.55,0,0,1,0
6skuCiLCjRA,How To Dismantle a Democracy,Three Arrows,1383,1,8,1,7,0.58,0,2,6,0
6vK1LY1KC_w,Why Modern Movies Suck - They're Completely Forgettable,The Critical Drinker,1867,0,2,0,2,0.11,0,1,0,1
6yVXtiqHBw0,AMERICAN JOURNALIST EXPOSES THE TRUTH ABOUT CHINA | JASON SMITH,midwesternmarx,41,0,0,0,0,0.0,0,0,0,0
7Bd_H8Cyago,The Easy Answers of YouTube Conservatism,Three Arrows,1032,0,6,0,6,0.58,4,1,0,1
7FWWF2nQf6o,The International - American country/folk version,midwesternmarx,41,0,0,0,0,0.0,0,0,0,0
7fDiL_RFGTA,The Real Says Jussie Smollett Hoax Was Noble,Actual Justice Warrior,347,1,12,0,12,3.46,0,2,11,0
7oP8ADjpJQk,The Decline and Fall of Woke Hollywood,Nerdrotic,659,0,3,0,3,0.46,2,0,0,1
7u1_GrRJ6qo,Last of Us Season 2 Facing MASSIVE Backlash,Geeks + Gamers,650,0,5,0,5,0.77,0,5,0,0
7x8SS8vrSQU,The REAL Superman Trailer - James Gunn's Ego RUINED The Marketing,Geeks + Gamers,403,0,2,0,2,0.5,0,2,0,0
8-N6yIfGuUM,"Crash And Burn - Dwayne ""The Rock"" Johnson",The Critical Drinker,1820,0,4,0,4,0.22,0,2,2,0
82uw8W_IQMo,Supergirl - More Superhero Slop?,The Critical Drinker,2134,0,1,0,1,0.05,0,0,0,1
86FyYciEHvg,"Snow White is a Historic FLOP, and That's a Good Thing",Nerdrotic,1004,0,0,0,0,0.0,0,0,0,0
8EzMJYYfOrA,Marathon Players are Already Giving Up Hope,Hero Hei,586,0,2,0,2,0.34,0,2,0,0
8OJ4Blrh6DE,George Lucas Admits The Truth About Disney Star Wars,Geeks + Gamers,251,0,1,0,1,0.4,0,0,0,1
8PWahrIjYD8,Oh My God..,TheQuartering,774,0,0,0,0,0.0,0,0,0,0
8S7-AqFAHck,Cornel West is Running for President… | OLAY & FRIENDS,olurinatti,270,0,0,0,0,0.0,0,0,0,0
8UBwCJvhaGE,Where Marx Was Wrong but Lenin Right,midwesternmarx,44,0,0,0,0,0.0,0,0,0,0
8av1PngPPQc,Eddie Liger Plays Marxist Trivia,midwesternmarx,17,0,0,0,0,0.0,0,0,0,0
8dtgH9Y4c78,Superman - A Beautiful James Gunn Mess,The Critical Drinker,1955,0,2,0,2,0.1,0,2,0,0
8ez7u2StoWI,WOKE BOY SCOUTS CAVE & DROP DEI AFTER LOSING 90% OF MEMBERS!,TheQuartering,623,0,0,0,0,0.0,0,0,0,0
8hyX3d9z7vs,Animal Farm - This Was Probably A Bad Idea,The Critical Drinker,1819,0,3,0,3,0.16,0,3,0,0
8tTKVAsN7rw,Probably Cancelled | Championing the working class: Dr. Shiva's campaign to reclaim America,midwesternmarx,45,0,0,0,0,0.0,0,0,0,0
8vR9lLCYHtg,Fact Checking My Breakfast Club Interview with Eric Adams,olurinatti,337,0,0,0,0,0.0,0,0,0,0
90a69Uln0Go,TikTok Gen Z Leftists Explain Everything,The Podcast of the Lotus Eaters,1853,0,5,0,5,0.27,0,5,0,0
91aZHkxwUOQ,The Rise of BBLs & Body Modifications | OLAY & FRIENDS,olurinatti,202,0,2,0,2,0.99,0,1,1,0
94PKCAshRrY,Rian Johnson SLAMS Kathleen Kennedy!,Geeks + Gamers,416,0,0,0,0,0.0,0,0,0,0
995ljGVQuCY,BBC checks YouTubers “Thinking”,The Podcast of the Lotus Eaters,253,1,0,0,0,0.0,0,0,0,0
9AMAr4HRmA0,Analyzing What Kamala’s Up Against | OLAY & FRIENDS,olurinatti,212,0,0,0,0,0.0,0,0,0,0
9HQghy9ZtY4,Avatar 3 - Tired And Ass,The Critical Drinker,1921,0,3,0,3,0.16,0,3,0,0
9NWCZek9rpE,The Beginning Of The End,The Critical Drinker,1940,0,3,0,3,0.15,0,3,0,0
9P4Z68blYZg,Woke Hollywood is Breaking Up,Nerdrotic,1009,0,0,0,0,0.0,0,0,0,0
9faEnSxkYFU,She RAMMED ICE With Her Car & Then Something Absurd Happened!,TheQuartering,320,0,0,0,0,0.0,0,0,0,0
9sa_b2D7ymU,"Woke Is Broke, and That's a Good Thing",Nerdrotic,835,0,3,0,3,0.36,0,3,0,0
9si7ztbQ_-4,Drake’s Lawsuit Could Destroy HipHop | OLAY & FRIENDS,olurinatti,299,0,0,0,0,0.0,0,0,0,0
9smMPnUd_Bs,RABBI YISROEL DOVID WEISS ON ZIONISM AND PALESTINE | Escaping the Cave Ep. 4,midwesternmarx,18,0,0,0,0,0.0,0,0,0,0
AAHrkNOGME0,Making Marxism Great Again | Probably Cancelled w/ Catherine Liu,midwesternmarx,141,0,1,0,1,0.71,0,1,0,0
AGFRZ_yvdnI,Interview w/ Professor Tim Orr: On The Charge of the First Minnesota. - Part. 1.,midwesternmarx,1,0,0,0,0,0.0,0,0,0,0
ALiHcmb_6xI,Alien: Earth - A Wild Ride,The Critical Drinker,1741,0,4,0,4,0.23,0,1,0,3
ALuzIz0d9m0,"Eddie Liger on MAGA, ACP, and Culture Wars | Homeless Romantic Podcast",midwesternmarx,167,0,0,0,0,0.0,0,0,0,0
AOv2TFlV5m0,Starfleet Academy Facing CANCELED Rumors From AI Over Online Backlash,Geeks + Gamers,308,0,0,0,0,0.0,0,0,0,0
APBsDqjlRE0,"So... What Now, Marvel?",The Critical Drinker,1887,0,2,0,2,0.11,0,2,0,0
Akl_kYPEYgQ,The Best And Worst Of 2025,The Critical Drinker,1238,0,1,0,1,0.08,0,1,0,0
AoeJUvAn_6I,Crash And Burn - The Brie Larson Story,The Critical Drinker,1746,0,2,0,2,0.11,0,2,0,0
Ap3oWLflVtw,"Kathleen Kennedy Finally Gone, But...",Geeks + Gamers,148,0,0,0,0,0.0,0,0,0,0
B9DzRYOyiXw,Black Celebs Are Tap Dancing for Donald Trump | OLAY & FRIENDS,olurinatti,330,0,0,0,0,0.0,0,0,0,0
BIfDKKbmDJI,Eddie Liger's CONTROVERSIAL Speech at the Chicago Workers School,midwesternmarx,116,0,0,0,0,0.0,0,0,0,0
BhPb1vA9LXo,Disney's Woke Plan DESTROYED By Snow White Failure,Geeks + Gamers,356,0,1,0,1,0.28,0,0,1,0
Bhxcpng7IUo,Ironheart is Hilariously DUMB - The M-She-U Needs to End,Nerdrotic,1183,0,0,0,0,0.0,0,0,0,0
Bi8g8KfzTZk,How Zionists Systematically Exterminate Palestinian Artists - Viral Tik Tok,midwesternmarx,6,0,0,0,0,0.0,0,0,0,0
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,The Podcast of the Lotus Eaters,1573,0,4,0,4,0.25,0,3,1,0
Bl8FEOvO_w8,TIM POOL QUITTING? TIMCAST IRL HOST RUTHLESSLY MOCKED FOR BURN OUT & THE QUARTERING REACTS,TheQuartering,461,1,2,0,2,0.43,0,1,0,1
Bou9GnrUSqM,Starfleet Academy CANCELLED Before Season 1? Star Trek Doom!,Culture Casino,325,0,1,0,1,0.31,0,1,0,0
Br71yMpUO8g,Legend of Zelda CONTROVERSY,Geeks + Gamers,248,0,0,0,0,0.0,0,0,0,0
BtHYUzyWMgE,VICE Suffer Delusions of Women's Rights,The Podcast of the Lotus Eaters,1145,0,2,0,2,0.17,0,1,0,1
Bx28xZ25ha0,Amazon's G20 is Hilariously BAD,Nerdrotic,1346,0,1,0,1,0.07,0,1,0,0
ByZ4ryPi8vg,Lord of the Rings Commits Mary Sue-icide - War Of The Rohirrim REVIEW,Nerdrotic,1209,0,0,0,0,0.0,0,0,0,0
C-CsWKvrEMQ,Women Can Be Predators Too & Men Can Be Victims | OLAY & FRIENDS,olurinatti,137,0,0,0,0,0.0,0,0,0,0
C1qi3TkxhQ8,An Apology To Critical Drinker Nerdrotic & Geeks & Gamers,TheQuartering,582,0,5,0,5,0.86,1,1,1,2
CFDDf48nj9g,America's Coming Weimar Moment,Three Arrows,1747,2,4,1,3,0.23,0,0,2,2
CTSGApgZrMY,Steam is being Threatened by the Modern Audience now,Hero Hei,737,0,6,0,6,0.81,0,3,0,3
CVMQ2WaI1HY,Walmart BLACK FATIGUE Goes Nuclear,TheQuartering,811,0,0,0,0,0.0,0,0,0,0
CVyTOLP9VkQ,The Brick Lady & The Gender Wars | OLAY & FRIENDS,olurinatti,272,1,1,0,1,0.37,0,0,1,0
C_kEBQcf0xY,"Dr Umar, Pseudo-Intellectual Nonsense, and American Exceptionalism | OLAY & FRIENDS",olurinatti,256,0,0,0,0,0.0,0,0,0,0
CeVrooNAunE,Rachel Zegler Blames YOU For Her Failures,Geeks + Gamers,163,0,0,0,0,0.0,0,0,0,0
Cg9mW1uTxyU,PODCAST #2: CAPITOL STORMING AND THE PESSIMISTIC LEFT,midwesternmarx,12,0,0,0,0,0.0,0,0,0,0
CskLY0-7_zY,Kyle Kulinski CRIES Over Matt Walsh Crime Takes,Actual Justice Warrior,705,0,1,0,1,0.14,0,0,1,0
CuOUEXpFgVU,Is America Obsessed with Celebrities? | OLAY & FRIENDS,olurinatti,284,0,0,0,0,0.0,0,0,0,0
CuTnb3dtbe8,Gamestop BREAKS The Internet w/ Trump Memes - Games Journos MELTDOWN,Geeks + Gamers,290,1,3,0,3,1.03,0,2,1,0
D6cpD_vfVP4,Cincinnati CAUGHT Paying Black Activist To ATTACK Cops,Actual Justice Warrior,565,0,2,0,2,0.35,0,0,0,2
DDHqE-AJsh0,,,154,54,0,0,0,0.0,0,0,0,0
DFGXQzR488Y,Conservative Party Unable to Fully Commit Against Critical Race Theory,The Podcast of the Lotus Eaters,71,0,0,0,0,0.0,0,0,0,0
DFgZSCkggTY,FEMINIST TEACHER JUST LOST EVERYTHING & IS HEADING TO PRISON!,TheQuartering,491,0,0,0,0,0.0,0,0,0,0
DRDd0cUHMRs,Box Office COLLAPSE: 2025’s Worst Weekend DOOMS Theaters!,Culture Casino,204,1,0,0,0,0.0,0,0,0,0
DTXBi3E9mo4,DONALD TRUMP ASSASSINATION ATTEMPT JUST STOPPED! MAN STORMS MAR-A-LAGO ARMED & WITH GAS CANS!,TheQuartering,621,0,0,0,0,0.0,0,0,0,0
DcfR9vbU_-Q,,,142,42,0,0,0,0.0,0,0,0,0
Ddwtrx4qD3s,Tom Cruise EMBARRASSES Hollywood with Epic Response To Woke Reporter,Geeks + Gamers,411,0,1,0,1,0.24,0,1,0,0
DfXD7Gbm3cQ,The Fall of Ice Spice: Colorism & Transactional Relationships | OLAY & FRIENDS,olurinatti,287,0,0,0,0,0.0,0,0,0,0
DuSScLV2q2g,Why the Right is Obsessed with Trans People,olurinatti,239,0,1,0,1,0.42,0,1,0,0
DvD1lHts-BA,Jimmy Kimmel CANCELED - Disney Pulls the Plug After Charlie Kirk Comments,Nerdrotic,886,0,8,0,8,0.9,0,6,1,1
E0UvbJEf0Uc,WOKE PROFESSOR FINDS OUT! HER OWN PEERS TURN ON HER,TheQuartering,401,0,3,0,3,0.75,0,1,0,2
ESeyg7BVkBY,Squatty Potty Inventor ARRESTED For Horrible Crime & Falling For OBVIOUS Sting!,TheQuartering,493,0,1,0,1,0.2,0,1,0,0
E_TDQo9Zpv8,The Iraq War: PragerU vs. Reality,Three Arrows,781,0,1,0,1,0.13,0,1,0,0
ErkPNJWggX4,Stranger Things Season 5 - The Last Real TV Event?,The Critical Drinker,1626,0,2,0,2,0.12,0,1,0,1
Eu-IjsbxIIw,MAGA Communism: Fact vs. Fiction,midwesternmarx,455,0,1,0,1,0.22,0,1,0,0
Exdq6NqAuDE,The Rise of Class Solidarity? | OLAY & FRIENDS,olurinatti,195,1,1,0,1,0.51,0,0,0,1
EyiXnH8s4Hc,Fantastic Four: First Steps REVIEW - The Best Marvel Flop of the Year,Nerdrotic,1492,0,0,0,0,0.0,0,0,0,0
F-mzNYCIgMY,WOKE HYPOCRISY AS BLACK TEACHER RAN OVER BY ILLEGAL ICE BLAMED & CNN OPENLY LIES ABOUT WHAT HAPPENED,TheQuartering,365,0,0,0,0,0.0,0,0,0,0
F8nzXIxOdD8,Snow White is AWFUL - The FOULEST of Them All,Nerdrotic,1854,0,2,0,2,0.11,0,2,0,0
FEwzEHFAZv8,Socialist Countries Tier List Part 2,midwesternmarx,59,0,0,0,0,0.0,0,0,0,0
FKq9SWSjB6U,WE NEED TO TALK ABOUT THIS,TheQuartering,425,0,0,0,0,0.0,0,0,0,0
FTxzfH6jIoY,YOUTUBE TO REQUIRE ID'S & THE DEATH OF INTERNET PRIVACY,TheQuartering,486,0,31,0,31,6.38,1,0,29,1
FX8Iw37srmY,The Marketplace of Ideas | Germany vs. USA,Three Arrows,918,0,7,0,7,0.76,0,3,3,1
Figo2w2qRJ8,Why Marvel is FAILING - The House is Out of Ideas,Nerdrotic,676,0,1,0,1,0.15,0,1,0,0
Fjutn4sGMWM,Why You Should Vote For Your Weakest Adversary,olurinatti,270,0,0,0,0,0.0,0,0,0,0
FmNNZSyNOi0,Billy Bob Thornton SLAMS Hollywood Over Playing Politics,Geeks + Gamers,83,0,0,0,0,0.0,0,0,0,0
FnACzwV7Mwc,"If Pretty is a Privilege, Ugly is a Curse",olurinatti,1279,1,0,0,0,0.0,0,0,0,0
Fu-MDEXwV4s,Was Every German Soldier Evil?,Three Arrows,1461,0,2,0,2,0.14,0,0,1,1
FyL6luy89mY,American Communist Party WINS ELECTION! Chris Helali WINS High Bailiff,midwesternmarx,53,0,0,0,0,0.0,0,0,0,0
G1x2mdidiyY,Grace Randolph MELTDOWN Over Nerdrotic Comments,Geeks + Gamers,317,0,1,0,1,0.32,0,1,0,0
G3wI8aIx4e8,Toledo Cop ARRESTED For Shoplifting,Actual Justice Warrior,422,0,0,0,0,0.0,0,0,0,0
GLGoMq7Pygo,The Bombs that Land in Gaza Land in Detroit | Carlos Garrido at Free America to Free Palestine,midwesternmarx,41,0,0,0,0,0.0,0,0,0,0
Ga6fNHtgdzg,"Shia LaBeouf ATTACKS Man In ""MAGA"" Hat & Instantly Regrets It!",TheQuartering,702,0,0,0,0,0.0,0,0,0,0
GkU7hieQlIU,Ironheart REVIEW - The Worst Marvel Ever Made?,Nerdrotic,865,0,0,0,0,0.0,0,0,0,0
GmtG1d-kYjo,Wonka Review -  They Lied to You,Culture Casino,146,0,0,0,0,0.0,0,0,0,0
GohlQuOJLpE,Does the Left Want to Destroy History?,Three Arrows,1280,0,4,0,4,0.31,0,1,0,3
GsTpP8GPlz0,"Update on Chicago  torture victim, How to help",Actual Justice Warrior,2,0,1,0,1,50.0,0,0,0,1
GvUAjcZ1r-U,The Winds of Winter is NOT Coming - ASOIAF Fans Sold Out For Hollywood,Nerdrotic,1703,0,0,0,0,0.0,0,0,0,0
GwKj6_PxTTM,Bad News For James Gunn's Superman,Geeks + Gamers,651,0,0,0,0,0.0,0,0,0,0
GxF0oliZEu0,Evo Morales: Rise of the First Indigenous President of Bolivia- Book Review and Summary,midwesternmarx,37,0,0,0,0,0.0,0,0,0,0
H1WPE873mp0,Welcome to My Channel Olurinatti!,olurinatti,201,0,0,0,0,0.0,0,0,0,0
H4eE32OB2kQ,,,168,68,0,0,0,0.0,0,0,0,0
H5N89KMuL8g,,,162,62,0,0,0,0.0,0,0,0,0
HBXy4us4J5Y,"Imani Barbarin on Disability Rights, Navigating Ableism & Creating Change | ICONIC INTERVIEW",olurinatti,145,0,1,0,1,0.69,0,0,1,0
HOHthnsuhPw,Denial as a Tool of the Radical Right,Three Arrows,752,0,3,0,3,0.4,0,2,0,1
HYmFwmx65OA,Charlie Kirk Assassin MELTDOWN In Court As Judge Delivers WORST CASE Scenario To Tyler Robinson Team,TheQuartering,889,0,0,0,0,0.0,0,0,0,0
HbFh51eS_ug,America Hates The Left & We Need A Plan,olurinatti,787,1,3,0,3,0.38,0,2,0,1
HbkYJA-7jNU,Polygon is DEAD,Geeks + Gamers,285,0,0,0,0,0.0,0,0,0,0
Hh74jSq4Zzw,When The Police FAIL,Actual Justice Warrior,508,1,2,0,2,0.39,0,0,2,0
Ho0aWvwQLlA,Prof. Garrido on Censorship and Free Speech at Platypus 2024 International Convention,midwesternmarx,11,0,0,0,0,0.0,0,0,0,0
HpmXeKyPAx0,Kathleen Kennedy REPLACED By Dave Filoni at Lucasfilm,Geeks + Gamers,341,0,1,0,1,0.29,0,0,1,0
I1p_zvC73Ys,Disney's Snow White is the Biggest PR Disaster Yet! Ratios Are INSANE!,Culture Casino,155,0,0,0,0,0.0,0,0,0,0
IDKsLaVBrdY,Crash And Burn - The Amy Schumer Story,The Critical Drinker,1414,0,3,0,3,0.21,0,3,0,0
IJZ-IKDWFLE,Disney's Alien: Earth REVIEW,Nerdrotic,1496,0,3,0,3,0.2,0,2,0,1
IKNLiyGCa9I,The Witcher Season 4 - Is Anyone Still Watching This Garbage? ,The Critical Drinker,1215,0,0,0,0,0.0,0,0,0,0
IQujpTzTNGY,Los Angeles DESTROYS Graham Stephan,Actual Justice Warrior,718,0,0,0,0,0.0,0,0,0,0
I_HdqYCDcVE,Brexit: PragerU vs. Reality,Three Arrows,1146,1,3,0,3,0.26,0,2,0,1
ImBcvC4TrtI,39 ICE Karens Just FOUND OUT! Mass Arrests Have Don Lemon In Meltdown Mode As Tim Walz Embarassed!,TheQuartering,461,0,2,0,2,0.43,0,2,0,0
ItP_dWR2Weg,Kathleen Kennedy QUITS After Destroying Star Wars,Nerdrotic,975,0,2,0,2,0.21,1,1,0,0
IxBZ7jCB56U,Top 5 Woke Hollywood DISASTERS of 2024,Nerdrotic,846,0,2,0,2,0.24,0,2,0,0
IxRp3AsdRhc,Rachel Zegler Kills Snow White With HATE Rant! Film is DOA Now.,Culture Casino,273,0,1,0,1,0.37,1,0,0,0
Iyu_HVukwPI,Starfleet Academy Sucks - And WE'RE To Blame,The Critical Drinker,1572,0,0,0,0,0.0,0,0,0,0
J2H3RNNDpF0,The Naked Gun - Are We Allowed To Laugh Again?,The Critical Drinker,1161,0,1,0,1,0.09,0,1,0,0
J4eC4gsevrg,Socialism Wins in Bolivia: But Far Right Extremism Persists,midwesternmarx,24,0,0,0,0,0.0,0,0,0,0
JJkmHyoWm2M,Hollywood PANIC After President Trump Orders 100% TARIFFS,Geeks + Gamers,475,0,0,0,0,0.0,0,0,0,0
JUEGzSeOTzk,,,198,33,0,0,0,0.0,0,0,0,0
